2C19-30,2C19-30all,2C19-30ligand,2C19-30docked,2C19-40,2C19-40all,2C19-40ligand,2C19-40docked,2C19-50,2C19-50all,2C19-50ligand,2C19-50docked,2C19-60,2C19-60all,2C19-60ligand,2C19-60docked,2C19-70,2C19-70all,2C19-70ligand,2C19-70docked,2C19-80,2C19-80all,2C19-80ligand,2C19-80docked,2C9-30,2C9-30all,2C9-30ligand,2C9-30docked,2C9-40,2C9-40all,2C9-40ligand,2C9-40docked,2C9-50,2C9-50all,2C9-50ligand,2C9-50docked,2C9-60,2C9-60all,2C9-60ligand,2C9-60docked,2C9-70,2C9-70all,2C9-70ligand,2C9-70docked,2C9-80,2C9-80all,2C9-80ligand,2C9-80docked,2D6-30,2D6-30all,2D6-30ligand,2D6-30docked,2D6-40,2D6-40all,2D6-40ligand,2D6-40docked,2D6-50,2D6-50all,2D6-50ligand,2D6-50docked,2D6-60,2D6-60all,2D6-60ligand,2D6-60docked,2D6-70,2D6-70all,2D6-70ligand,2D6-70docked,2D6-80,2D6-80all,2D6-80ligand,2D6-80docked,1A2-30,1A2-30all,1A2-30ligand,1A2-30docked,1A2-40,1A2-40all,1A2-40ligand,1A2-40docked,1A2-50,1A2-50all,1A2-50ligand,1A2-50docked,1A2-60,1A2-60all,1A2-60ligand,1A2-60docked,1A2-70,1A2-70all,1A2-70ligand,1A2-70docked,1A2-80,1A2-80all,1A2-80ligand,1A2-80docked,3A4-30,3A4-30all,3A4-30ligand,3A4-30docked,3A4-40,3A4-40all,3A4-40ligand,3A4-40docked,3A4-50,3A4-50all,3A4-50ligand,3A4-50docked,3A4-60,3A4-60all,3A4-60ligand,3A4-60docked,3A4-70,3A4-70all,3A4-70ligand,3A4-70docked,3A4-80,3A4-80all,3A4-80ligand,3A4-80docked
20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,
25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,
20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,
25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,
0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,
13490,,,,13490,,,,13489,,,,13489,,,,13489,,,,13490,,,,13110,,,,13107,,,,13100,,,,13085,,,,13067,,,,13072,,,,13944,,,,13944,,,,13944,,,,13944,,,,13945,,,,13945,,,,11955,,,,11992,,,,11994,,,,12002,,,,11995,,,,12001,,,,13116,,,,13101,,,,13068,,,,13119,,,,13098,,,,13070,,,
4680,,,,4680,,,,4680,,,,4680,,,,4680,,,,4680,,,,4656,,,,4656,,,,4656,,,,4656,,,,4656,,,,4656,,,,4539,,,,4539,,,,4539,,,,4539,,,,4539,,,,4539,,,,4612,,,,4612,,,,4612,,,,4612,,,,4612,,,,4612,,,,4558,,,,4558,,,,4558,,,,4558,,,,4558,,,,4558,,,
,[0.84982818 0.71580756 0.7556701  0.84123711 0.82646048],,,,[0.78       0.63111111 0.68703704 0.71888889 0.79407407],,,,[0.704596   0.64640474 0.66456635 0.7483321  0.80496848],,,,[0.75018342 0.64673514 0.70616288 0.75449541 0.80807339],,,,[0.81626928 0.64831697 0.79067321 0.78639074 0.81760786],,,,[0.78459441 0.68132243 0.82617587 0.81117928 0.86503067],,,,[0.91950297 0.91166937 0.94381415 0.84602917 0.90491626],,,,[0.88429752 0.90111143 0.91308065 0.80906241 0.89652223],,,,[0.90179071 0.93033016 0.9034695  0.81113598 0.90011192],,,,[0.93144399 0.91524966 0.92008639 0.79967603 0.93034557],,,,[0.92569907 0.9126498  0.90756526 0.8308471  0.93740011],,,,[0.93846557 0.92877717 0.90361446 0.8632792  0.95311682],,,,[0.94656965 0.96340956 0.95031185 0.97067998 0.96714494],,,,[0.92544773 0.97022074 0.96730529 0.98167049 0.96209123],,,,[0.92209922 0.97601476 0.96760968 0.9790855  0.96862826],,,,[0.91670103 0.98247423 0.95979381 0.96741596 0.97566509],,,,[0.91477974 0.97200494 0.96521202 0.96582956 0.97056402],,,,[0.93987603 0.96673554 0.96756198 0.98181818 0.96859504],,,,[0.93416928 0.85329154 0.92037618 0.93949843 0.930721  ],,,,[0.85368315 0.81029263 0.86242852 0.92700975 0.89131898],,,,[0.90833333 0.84433333 0.88333333 0.95498499 0.9033011 ],,,,[0.87722839 0.8045745  0.88698285 0.93676421 0.90444145],,,,[0.892833   0.81744422 0.90500338 0.93204868 0.90196078],,,,[0.86405451 0.83373083 0.92331288 0.92740286 0.9062713 ],,,,[0.85100134 0.87449933 0.92176235 0.84405874 0.86672009],,,,[0.85102157 0.89156968 0.89355663 0.82628442 0.88787965],,,,[0.86924177 0.89098712 0.89327611 0.79599428 0.88065255],,,,[0.85126124 0.87677588 0.87358655 0.80371122 0.87674014],,,,[0.87045861 0.86777844 0.84484812 0.80941036 0.86688505],,,,[0.86143117 0.84228086 0.83864119 0.81649985 0.84531392],,
,0.744017094017094,,,,0.7623931623931623,,,,0.7568376068376068,,,,0.7844017094017094,,,,0.8047008547008547,,,,0.7974358974358975,,,,0.7577319587628866,,,,0.7635309278350515,,,,0.7731958762886598,,,,0.8062714776632303,,,,0.836340206185567,,,,0.8393470790378007,,,,0.8794888742013659,,,,0.8883013879709187,,,,0.8909451421017845,,,,0.898876404494382,,,,0.8944701476096056,,,,0.8957920246750386,,,,0.8081092801387685,,,,0.8176496097137901,,,,0.8237207285342585,,,,0.8252385082393755,,,,0.8330442324371206,,,,0.8388985255854293,,,,0.7630539710399298,,,,0.8025449758666081,,,,0.8192189556823168,,,,0.8394032470381746,,,,0.8426941641070645,,,,0.8321632294866169,,
,0.748314606741573,,,,0.7668539325842697,,,,0.7707865168539326,,,,0.7780898876404494,,,,0.7837078651685393,,,,0.7325842696629213,,,,0.7403598971722365,,,,0.7000856898029134,,,,0.6786632390745502,,,,0.6632390745501285,,,,0.6786632390745502,,,,0.6743787489288775,,,,0.41333333333333333,,,,0.45166666666666666,,,,0.405,,,,0.48,,,,0.49166666666666664,,,,0.4166666666666667,,,,0.7921375921375922,,,,0.8230958230958231,,,,0.802948402948403,,,,0.7803439803439803,,,,0.8093366093366093,,,,0.8196560196560196,,,,0.6069268829026938,,,,0.7020340846619021,,,,0.7652556349642661,,,,0.7757009345794392,,,,0.7905442550852116,,,,0.7778999450247389,,
,0.7413793103448276,,,,0.7596551724137931,,,,0.7482758620689656,,,,0.7882758620689655,,,,0.8175862068965517,,,,0.8372413793103448,,,,0.763542562338779,,,,0.7847520779593007,,,,0.8048151332760103,,,,0.8541129263399255,,,,0.8890799656061908,,,,0.8945256520492978,,,,0.9504950495049505,,,,0.9548108657019548,,,,0.964965727341965,,,,0.9626808834729627,,,,0.9558263518659559,,,,0.9687738004569688,,,,0.8207217694994179,,,,0.813348855258052,,,,0.8401241753977493,,,,0.8606907256499806,,,,0.8517656189367482,,,,0.854093907644548,,,,0.8667396860167944,,,,0.8692953632712669,,,,0.855056589996349,,,,0.8817086527929902,,,,0.8773274917853231,,,,0.8682000730193501,,
,0.827817415730337,,,,0.839221038357226,,,,0.8353744672607517,,,,0.8547543587756683,,,,0.872920089112747,,,,0.8679817900038744,,,,0.8326283388384551,,,,0.8282031199536896,,,,0.8295485161714021,,,,0.8517964281425059,,,,0.8724575192003856,,,,0.8788347660403133,,,,0.8486798679867987,,,,0.8643877464669545,,,,0.8663903698062115,,,,0.863872387238724,,,,0.8602991452991453,,,,0.8679339087754927,,,,0.8903761206438738,,,,0.8974753989887866,,,,0.9027594320958698,,,,0.9036141867340935,,,,0.9132824008260563,,,,0.9101189029012079,,,,0.8555912891407702,,,,0.8883914888902403,,,,0.8924338465361271,,,,0.9090736477821928,,,,0.9160102853314402,,,,0.9157395236400647,,
,0.47838083601846204,,,,0.5148559480306761,,,,0.5066064800335864,,,,0.5558417679157077,,,,0.5932719044404615,,,,0.5700739646338823,,,,0.45421219776889726,,,,0.44460125141727747,,,,0.45055028773927597,,,,0.5018229822559389,,,,0.5658204108406694,,,,0.570871232777625,,,,0.415224866905602,,,,0.4611267713328279,,,,0.4518823506881,,,,0.509343864518728,,,,0.4979333945522502,,,,0.4753482242597297,,,,0.6117163036928414,,,,0.633375873203035,,,,0.6427147491559239,,,,0.6444502206590422,,,,0.6613095743780502,,,,0.6734419903522111,,,,0.49632396681492225,,,,0.5833452808822139,,,,0.622094064545383,,,,0.663045329722084,,,,0.670801483261149,,,,0.6488018436089972,,
,,[0.81649485 0.65670103 0.69896907 0.81202749 0.79553265],,,,[0.74888889 0.64148148 0.68148148 0.71666667 0.79      ],,,,[0.69977761 0.64529281 0.6675315  0.73202372 0.80496848],,,,[0.72340426 0.63829787 0.69772561 0.75743119 0.79302752],,,,[0.80680224 0.6384993  0.80119215 0.787443   0.83093651],,,,[0.81117928 0.69120654 0.834015   0.82208589 0.8524199 ],,,,[0.93462993 0.92949757 0.95299838 0.84602917 0.89735278],,,,[0.90339128 0.91792533 0.92533485 0.80364776 0.89053592],,,,[0.92613318 0.93116956 0.90850588 0.79742585 0.89115837],,,,[0.93441296 0.91738661 0.91846652 0.77888769 0.9325054 ],,,,[0.92942743 0.92623169 0.88545551 0.8292488  0.93047416],,,,[0.94684472 0.94291699 0.89392352 0.85437402 0.92299633],,,,[0.9602828  0.96464962 0.95008319 0.95985857 0.96277038],,,,[0.9379296  0.9606332  0.95271818 0.95875859 0.95250989],,,,[0.92476425 0.97457975 0.95715457 0.96493746 0.96678286],,,,[0.90657868 0.97710396 0.95379538 0.95771452 0.95565182],,,,[0.91827913 0.96706464 0.96356525 0.95162618 0.97118156],,,,[0.93367769 0.95454545 0.95805785 0.96342975 0.95289256],,,,[0.92946708 0.84576803 0.91912226 0.93793103 0.92476489],,,,[0.87319206 0.82307434 0.88832829 0.91759166 0.90444145],,,,[0.87733333 0.81466667 0.87166667 0.93964655 0.90263421],,,,[0.91120081 0.82206525 0.90413724 0.92633703 0.9192463 ],,,,[0.88810007 0.82319135 0.90601758 0.93103448 0.9188641 ],,,,[0.87427598 0.81499148 0.9342195  0.92876619 0.9137696 ],,,,[0.91241656 0.91108144 0.90493992 0.82136182 0.85763889],,,,[0.90181612 0.9165484  0.9015044  0.81124042 0.87851263],,,,[0.91101574 0.90472103 0.88011445 0.80772532 0.86576989],,,,[0.89997101 0.91040881 0.8962018  0.79037402 0.85933875],,,,[0.88832638 0.90619416 0.88177487 0.80583681 0.85378201],,,,[0.90418435 0.89080983 0.8744313  0.80649075 0.84986351],
,,0.7254273504273504,,,,0.755982905982906,,,,0.7617521367521367,,,,0.783974358974359,,,,0.7882478632478632,,,,0.7856837606837607,,,,0.7345360824742269,,,,0.7643900343642611,,,,0.772766323024055,,,,0.8131443298969072,,,,0.8122852233676976,,,,0.821520618556701,,,,0.874641991628112,,,,0.8885217008151576,,,,0.8924873320114562,,,,0.8949107732980833,,,,0.9028420356906808,,,,0.8814716897995153,,,,0.7920641803989592,,,,0.8165654813529922,,,,0.810928013876843,,,,0.8245880312228968,,,,0.8269731136166523,,,,0.8339115351257589,,,,0.7417160412552117,,,,0.7877989905639675,,,,0.8079877112135176,,,,0.8198376124643406,,,,0.8367346938775511,,,,0.8294930875576036,
,,0.8016853932584269,,,,0.7752808988764045,,,,0.7882022471910113,,,,0.7769662921348315,,,,0.7617977528089888,,,,0.7286516853932584,,,,0.689802913453299,,,,0.7086546700942588,,,,0.6341045415595544,,,,0.6443873179091688,,,,0.6632390745501285,,,,0.6872322193658955,,,,0.34833333333333333,,,,0.4816666666666667,,,,0.49333333333333335,,,,0.5116666666666667,,,,0.5333333333333333,,,,0.4216666666666667,,,,0.7813267813267813,,,,0.827027027027027,,,,0.8098280098280098,,,,0.7778869778869779,,,,0.8132678132678133,,,,0.8206388206388207,,,,0.6206706981858163,,,,0.7295217152281473,,,,0.7504123144584937,,,,0.7751511819681144,,,,0.8042880703683343,,,,0.7954920285871357,
,,0.6786206896551724,,,,0.7441379310344828,,,,0.7455172413793103,,,,0.7882758620689655,,,,0.8044827586206896,,,,0.8206896551724138,,,,0.7494984236170823,,,,0.7830323875035827,,,,0.8191458870736601,,,,0.8695901404413873,,,,0.8621381484666093,,,,0.8664373746059043,,,,0.9548108657019548,,,,0.9504950495049505,,,,0.9532876364559533,,,,0.9532876364559533,,,,0.9591266818989591,,,,0.9515105356689515,,,,0.8005432673651532,,,,0.8083042297244858,,,,0.8117966627861855,,,,0.8614668218859138,,,,0.8377958866899495,,,,0.8443927046953822,,,,0.8221329437545654,,,,0.8265157048940833,,,,0.8462381300219138,,,,0.8495252008765523,,,,0.8582907231555881,,,,0.852081811541271,
,,0.8128005617977528,,,,0.8339877954281286,,,,0.8351299883765984,,,,0.8514694885703216,,,,0.8588590662533903,,,,0.8638062766369624,,,,0.802097079252384,,,,0.8202100714130811,,,,0.8282292763423692,,,,0.8459051006922725,,,,0.8557013436524583,,,,0.8617243126457175,,,,0.8316692053820768,,,,0.8571198273673523,,,,0.8495819581958196,,,,0.8707569603114158,,,,0.8654425827198104,,,,0.8355280528052806,,,,0.8682804510511146,,,,0.8887634803816411,,,,0.8958951755226494,,,,0.8998976964052633,,,,0.9035361957364285,,,,0.9035093088643729,,,,0.8156987500256003,,,,0.8695371597025313,,,,0.8867246590750744,,,,0.8923898416640195,,,,0.9081427236487188,,,,0.9123963792626408,
,,0.466364566682873,,,,0.5065283177146628,,,,0.5200946390146911,,,,0.5548098644912981,,,,0.5587693688800026,,,,0.5472214914516321,,,,0.3964913093032093,,,,0.4497658687692755,,,,0.43096075351123597,,,,0.5083112866274175,,,,0.5131353974828147,,,,0.5390204708001064,,,,0.36764928242996553,,,,0.4742384876405684,,,,0.49190085960736674,,,,0.5070115921932545,,,,0.5418898672401434,,,,0.42546641313792877,,,,0.5800678359435395,,,,0.6319183121954963,,,,0.6190617462868477,,,,0.6430749235680722,,,,0.6498780916638885,,,,0.6638795138434678,,,,0.4532899237140923,,,,0.5569277989553998,,,,0.5985411996508403,,,,0.6245041182596497,,,,0.6606987690540506,,,,0.6456813493459924,
,,,[0.83298969 0.66116838 0.68109966 0.79381443 0.82268041],,,,[0.75296296 0.59777778 0.65555556 0.72111111 0.78851852],,,,[0.7335063  0.64232765 0.59710897 0.74166049 0.78049685],,,,[0.76375642 0.64563463 0.6404989  0.73211009 0.79779817],,,,[0.79803647 0.63709677 0.70231417 0.75797966 0.82146615],,,,[0.77402863 0.62440354 0.72324472 0.75289707 0.82072256],,,,[0.88681794 0.89519179 0.92706645 0.82495948 0.88600756],,,,[0.86206897 0.89284696 0.89740667 0.7953833  0.85632839],,,,[0.87157247 0.90542809 0.89143816 0.81869054 0.85842194],,,,[0.87584345 0.87958963 0.90793737 0.77807775 0.87473002],,,,[0.89027963 0.90466045 0.90809803 0.81779435 0.90383591],,,,[0.91489919 0.91568473 0.90204295 0.81403876 0.91356731],,,,[0.94239967 0.95903514 0.95507488 0.98107321 0.9702579 ],,,,[0.90356176 0.95959175 0.95271818 0.97375547 0.96021662],,,,[0.91164412 0.96227962 0.95633456 0.96288702 0.96042649],,,,[0.89606104 0.96844059 0.95936469 0.96905941 0.9669967 ],,,,[0.89110745 0.96130095 0.95100865 0.96233018 0.95121449],,,,[0.91818182 0.95702479 0.95702479 0.97644628 0.95847107],,,,[0.90532915 0.85423197 0.90971787 0.93134796 0.92727273],,,,[0.85940128 0.83316515 0.86242852 0.92566431 0.87886945],,,,[0.88866667 0.841      0.87766667 0.94298099 0.90130043],,,,[0.839556   0.79784729 0.84325597 0.9044736  0.89367429],,,,[0.87491548 0.80933063 0.8908046  0.93137255 0.89756592],,,,[0.85383305 0.81226576 0.89468303 0.90149966 0.88275392],,,,[0.82162884 0.83631509 0.89452603 0.83204272 0.85683761],,,,[0.81668558 0.86999716 0.85410162 0.82571672 0.88049957],,,,[0.80772532 0.84320458 0.85350501 0.8037196  0.87178019],,,,[0.79472311 0.85792983 0.83676428 0.79849232 0.86165893],,,,[0.8305539  0.81774866 0.82042883 0.79303157 0.83829661],,,,[0.8383869  0.82711556 0.81983621 0.81286018 0.83287837]
,,,0.6893162393162393,,,,0.6833333333333333,,,,0.7136752136752137,,,,0.7106837606837607,,,,0.7457264957264957,,,,0.7512820512820513,,,,0.6941580756013745,,,,0.7207903780068728,,,,0.7306701030927835,,,,0.7557989690721649,,,,0.790807560137457,,,,0.7880154639175257,,,,0.8803701255783212,,,,0.863626349416171,,,,0.8680326063009474,,,,0.8691341705221415,,,,0.8713372989645296,,,,0.8841154439303811,,,,0.7937987857762359,,,,0.8065915004336514,,,,0.8111448395490026,,,,0.8104943625325238,,,,0.8130962705984388,,,,0.8113616652211622,,,,0.7575159095896423,,,,0.7669519420671495,,,,0.7766074171604126,,,,0.771340794382269,,,,0.7888962036427474,,,,0.7888962036427474
,,,0.7443820224719101,,,,0.7539325842696629,,,,0.7735955056179775,,,,0.7247191011235955,,,,0.7337078651685394,,,,0.6926966292134832,,,,0.7377892030848329,,,,0.7489288774635818,,,,0.6872322193658955,,,,0.6572407883461868,,,,0.6435304198800342,,,,0.6358183376178235,,,,0.33666666666666667,,,,0.37333333333333335,,,,0.305,,,,0.35,,,,0.3466666666666667,,,,0.36666666666666664,,,,0.7931203931203932,,,,0.7945945945945946,,,,0.7832923832923833,,,,0.7759213759213759,,,,0.7852579852579853,,,,0.7975429975429975,,,,0.7289719626168224,,,,0.6893897746014294,,,,0.7273227047828478,,,,0.7471137987905443,,,,0.7652556349642661,,,,0.7493128092358439
,,,0.6555172413793103,,,,0.64,,,,0.676896551724138,,,,0.7020689655172414,,,,0.7531034482758621,,,,0.7872413793103449,,,,0.6795643450845514,,,,0.7113786185153339,,,,0.7451991974777873,,,,0.7887646890226426,,,,0.8400687876182287,,,,0.8389223273144167,,,,0.9631886265549632,,,,0.9383092155369384,,,,0.9537953795379538,,,,0.9482102056359482,,,,0.9512566641279513,,,,0.962934755013963,,,,0.7943344974776873,,,,0.8160651920838184,,,,0.83313930927435,,,,0.8377958866899495,,,,0.8350795498641832,,,,0.8222739619712844,,,,0.7764791818845873,,,,0.8184806428049671,,,,0.8093498904309715,,,,0.787436084733382,,,,0.8046018991964938,,,,0.8151935719503287
,,,0.758002808988764,,,,0.7574848895776832,,,,0.7913508330104612,,,,0.7952884540875629,,,,0.8097743122820612,,,,0.8195686749321969,,,,0.7812205970877255,,,,0.7998115266415713,,,,0.7895157334975905,,,,0.8070077263270561,,,,0.8205218604781388,,,,0.8302462654694164,,,,0.8131755098586781,,,,0.7982305153592282,,,,0.7852399086062452,,,,0.7968418380299569,,,,0.8011077261572311,,,,0.812176102225607,,,,0.8709895417695186,,,,0.878460850521386,,,,0.8838305974510865,,,,0.8780449620961844,,,,0.8829789891489541,,,,0.8891454265144602,,,,0.8363907717056908,,,,0.8535009683918351,,,,0.8600114608762071,,,,0.8584326789978841,,,,0.8737853940890953,,,,0.8740447094643788
,,,0.3882879382458261,,,,0.3825594890875707,,,,0.43742851563626856,,,,0.4157016470158346,,,,0.47709141178165,,,,0.476557230531026,,,,0.36588359709791274,,,,0.40654447990902737,,,,0.38968976437272085,,,,0.41334156788443116,,,,0.4662016580707842,,,,0.4581962661657801,,,,0.3822125656701151,,,,0.34742657769304225,,,,0.32233129966064056,,,,0.3508156594211994,,,,0.355955265360273,,,,0.41000859113823046,,,,0.5848290964716047,,,,0.6090813455383326,,,,0.6167895186282706,,,,0.6150109896844073,,,,0.6207311063987068,,,,0.6184730196540886,,,,0.5006885042038534,,,,0.5113274191038746,,,,0.535426007451713,,,,0.5294069924043275,,,,0.5649117842636976,,,,0.5620599547751627
0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,
