2C19-20,2C19-20ligand,2C19-30,2C19-30ligand,2C19-40,2C19-40ligand,2C19-50,2C19-50ligand,2C19-60,2C19-60ligand,2C19-70,2C19-70ligand,2C19-80,2C19-80ligand,2C9-20,2C9-20ligand,2C9-30,2C9-30ligand,2C9-40,2C9-40ligand,2C9-50,2C9-50ligand,2C9-60,2C9-60ligand,2C9-70,2C9-70ligand,2C9-80,2C9-80ligand,2D6-20,2D6-20ligand,2D6-30,2D6-30ligand,2D6-40,2D6-40ligand,2D6-50,2D6-50ligand,2D6-60,2D6-60ligand,2D6-70,2D6-70ligand,2D6-80,2D6-80ligand,1A2-20,1A2-20ligand,1A2-30,1A2-30ligand,1A2-40,1A2-40ligand,1A2-50,1A2-50ligand,1A2-60,1A2-60ligand,1A2-70,1A2-70ligand,1A2-80,1A2-80ligand,3A4-20,3A4-20ligand,3A4-30,3A4-30ligand,3A4-40,3A4-40ligand,3A4-50,3A4-50ligand,3A4-60,3A4-60ligand,3A4-70,3A4-70ligand,3A4-80,3A4-80ligand
20669,,20669,,20669,,20669,,20669,,20669,,20669,,11525,,11525,,11525,,11525,,11525,,11525,,11525,,6459,,6459,,6459,,6459,,6459,,6459,,6459,,16249,,16249,,16249,,16249,,16249,,16249,,16249,,15368,,15368,,15368,,15368,,15368,,15368,,15368,
25079,,25079,,25079,,25079,,25079,,25079,,25079,,30873,,30873,,30873,,30873,,30873,,30873,,30873,,39207,,39207,,39207,,39207,,39207,,39207,,39207,,25477,,25477,,25477,,25477,,25477,,25477,,25477,,25815,,25815,,25815,,25815,,25815,,25815,,25815,
20669,,20669,,20669,,20669,,20669,,20669,,20669,,11525,,11525,,11525,,11525,,11525,,11525,,11525,,6459,,6459,,6459,,6459,,6459,,6459,,6459,,16249,,16249,,16249,,16249,,16249,,16249,,16249,,15368,,15368,,15368,,15368,,15368,,15368,,15368,
25079,,25079,,25079,,25079,,25079,,25079,,25079,,30873,,30873,,30873,,30873,,30873,,30873,,30873,,39207,,39207,,39207,,39207,,39207,,39207,,39207,,25477,,25477,,25477,,25477,,25477,,25477,,25477,,25815,,25815,,25815,,25815,,25815,,25815,,25815,
0.6156633557328691,,0.6156633557328691,,0.6156633557328691,,0.6156633557328691,,0.6156633557328691,,0.6156633557328691,,0.6156633557328691,,0.6868582600195503,,0.6868582600195503,,0.6868582600195503,,0.6868582600195503,,0.6868582600195503,,0.6868582600195503,,0.6868582600195503,,0.5512369688341652,,0.5512369688341652,,0.5512369688341652,,0.5512369688341652,,0.5512369688341652,,0.5512369688341652,,0.5512369688341652,,0.6769454157333774,,0.6769454157333774,,0.6769454157333774,,0.6769454157333774,,0.6769454157333774,,0.6769454157333774,,0.6769454157333774,,0.7414807387827167,,0.7414807387827167,,0.7414807387827167,,0.7414807387827167,,0.7414807387827167,,0.7414807387827167,,0.7414807387827167,
1200,,13490,,28454,,34444,,37164,,39429,,40524,,1230,,13110,,24840,,29469,,32616,,35540,,37109,,1860,,13944,,29263,,35313,,38323,,39963,,40783,,1189,,11955,,24365,,29321,,32651,,35680,,36725,,1340,,13116,,26271,,31356,,33718,,35454,,36354,
4680,,4680,,4680,,4680,,4680,,4680,,4680,,4656,,4656,,4656,,4656,,4656,,4656,,4656,,4539,,4539,,4539,,4539,,4539,,4539,,4539,,4612,,4612,,4612,,4612,,4612,,4612,,4612,,4558,,4558,,4558,,4558,,4558,,4558,,4558,
,[0.98648649 0.92702703 0.86486486 0.86486486 0.88378378],,[0.85670103 0.74639175 0.75704467 0.83883162 0.81477663],,[0.74890177 0.65243367 0.71059568 0.74925321 0.82407733],,[0.75961678 0.63115111 0.69182755 0.74466541 0.81024971],,[0.76826064 0.62204414 0.73778245 0.77663908 0.81290238],,[0.79580336 0.63129496 0.79040767 0.81652476 0.83331335],,[0.77456847 0.62842348 0.79942463 0.80688226 0.83289216],,[0.98394495 0.98853211 0.9059633  0.97477064 0.94954128],,[0.93030794 0.92112372 0.94219341 0.84494868 0.89708266],,[0.92397138 0.92650566 0.91189624 0.81320811 0.9051737 ],,[0.92121588 0.93101737 0.9117866  0.81414392 0.90619184],,[0.93065414 0.93196462 0.90499072 0.78027738 0.94910997],,[0.93593888 0.93035557 0.88490548 0.83583113 0.94073856],,[0.94450125 0.93240982 0.87067683 0.87411677 0.95081815],,[0.93362193 0.96103896 0.99132948 0.98554913 0.92919075],,[0.95342067 0.96111458 0.94384359 0.9577787  0.96734609],,[0.92416873 0.9653598  0.95066998 0.96168354 0.95165773],,[0.90602272 0.96935523 0.95979078 0.96273292 0.9570121 ],,[0.91264264 0.97022595 0.96659613 0.96259069 0.95987001],,[0.92065574 0.96568306 0.95817851 0.95839405 0.95926843],,[0.92535926 0.96303711 0.95803246 0.95638496 0.95223795],,[0.9754902  0.93137255 0.93872549 0.97542998 0.93857494],,[0.91724138 0.8338558  0.91097179 0.93667712 0.92382445],,[0.88614024 0.82323067 0.8731979  0.92365662 0.90891219],,[0.90527759 0.84893763 0.90800658 0.93542638 0.92034549],,[0.85847069 0.81001363 0.87580565 0.90629648 0.8932821 ],,[0.90278094 0.84795988 0.90802371 0.92774105 0.91587826],,[0.85698472 0.81868497 0.88377242 0.91122426 0.89748699],,[0.96781116 0.95493562 0.97854077 0.97639485 0.93347639],,[0.91909212 0.93164219 0.91455274 0.82883845 0.86965812],,[0.91325165 0.91761724 0.88816901 0.83323944 0.87591549],,[0.90633183 0.90024997 0.89167956 0.80526128 0.86763481],,[0.91103082 0.91532121 0.89815965 0.80648075 0.86833785],,[0.90194132 0.89498069 0.87843354 0.81081081 0.86674021],,[0.9074195  0.90719182 0.87694484 0.81808291 0.87422479]
,0.6457264957264958,,0.7252136752136752,,0.764102564102564,,0.7835470085470085,,0.7976495726495727,,0.814957264957265,,0.8081196581196581,,0.6563573883161512,,0.7358247422680413,,0.7772766323024055,,0.788659793814433,,0.8032646048109966,,0.8247422680412371,,0.8322594501718213,,0.7997356245869134,,0.8682529191451862,,0.896452963207755,,0.889182639347874,,0.898876404494382,,0.8997576558713373,,0.9090107953293677,,0.7246313963573288,,0.7981352992194276,,0.8230702515177797,,0.8408499566348656,,0.839549002601908,,0.8408499566348656,,0.8445359930615784,,0.7324994513934606,,0.7474215492648673,,0.7847267939433838,,0.8084265964450297,,0.8358569234145271,,0.8343208251042352,,0.8301514154048716
,0.7067415730337079,,0.7567415730337078,,0.7640449438202247,,0.7904494382022472,,0.7870786516853933,,0.7775280898876404,,0.7702247191011236,,0.7686375321336761,,0.7077977720651243,,0.7043701799485861,,0.7060839760068551,,0.7000856898029134,,0.6949443016281063,,0.6966580976863753,,0.345,,0.36333333333333334,,0.5116666666666667,,0.49333333333333335,,0.495,,0.5233333333333333,,0.5533333333333333,,0.8800982800982801,,0.7847665847665848,,0.8501228501228502,,0.8275184275184275,,0.8388206388206388,,0.82997542997543,,0.8506142506142507,,0.7102803738317757,,0.6085761407366685,,0.680593732820231,,0.742715777899945,,0.8147333699835074,,0.7938427707531611,,0.7883452446399121
,0.6082758620689656,,0.7058620689655173,,0.7641379310344828,,0.7793103448275862,,0.8041379310344827,,0.8379310344827586,,0.8313793103448276,,0.6188019489825165,,0.7451991974777873,,0.8016623674405273,,0.8162797363141301,,0.8377758670106048,,0.8681570650616223,,0.877615362568071,,0.869002284843869,,0.9451637471439451,,0.955064737242955,,0.9494795633409495,,0.9603960396039604,,0.9570957095709571,,0.9631886265549632,,0.6018626309662398,,0.8086922778424525,,0.8017074117190531,,0.8513775708187815,,0.8401241753977493,,0.8494373302289484,,0.8397361272797826,,0.7472607742878014,,0.839663988312637,,0.8539079620160701,,0.852081811541271,,0.8498904309715121,,0.8612125639152666,,0.8579254930606282
,0.7205143355288648,,0.8067948469585433,,0.8334657109647423,,0.8505168539325842,,0.8651390933746609,,0.8761450987989151,,0.8763070515304145,,0.7754524379841848,,0.81579639572332,,0.8323202337718029,,0.844478288109797,,0.8423624450255338,,0.8579197246923432,,0.8685320960993088,,0.715011424219345,,0.8168731488533469,,0.8738812727426589,,0.8638512312769739,,0.866912498942202,,0.8800093086231701,,0.8794935262757047,,0.8304324114568585,,0.8759856374524593,,0.8975257403662525,,0.9093608265901629,,0.9127105304055246,,0.9168522528243133,,0.9183071949078933,,0.8083547940315098,,0.8381397198871903,,0.8631304736827523,,0.8944802267759641,,0.914135589313516,,0.9149268877215626,,0.9188732400587742
,0.3059450318136415,,0.4499672098163488,,0.5169876486453084,,0.5575918793538829,,0.5813905790316808,,0.6108959853388044,,0.5968135987899126,,0.3361366915886495,,0.40700677169260724,,0.4681643457718526,,0.4875023324911466,,0.5101199689841956,,0.5477979243783059,,0.5630343419687089,,0.19806771625938022,,0.35531883415874055,,0.5121740007080138,,0.4811502365466846,,0.5145879152166202,,0.527685706525869,,0.5704640183634082,,0.49082376531450733,,0.5919490825380457,,0.6475707589060115,,0.6778420911383939,,0.6764680259358341,,0.6780565024685762,,0.687264663575375,,0.45193138446872266,,0.4636429744953938,,0.54551684018227,,0.5985266064982353,,0.660490452222123,,0.6547550042675209,,0.6460334035935609
